Name,Event,Bookmaker,Last Update,Point
Detroit Lions,Kansas City Chiefs vs Detroit Lions,FanDuel,2023-08-18T22:58:58Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,FanDuel,2023-08-18T22:58:58Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,William Hill (US),2023-08-18T23:00:17Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,William Hill (US),2023-08-18T23:00:17Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,MyBookie.ag,2023-08-18T22:58:57Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,MyBookie.ag,2023-08-18T22:58:57Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,PointsBet (US),2023-08-18T22:58:57Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,PointsBet (US),2023-08-18T22:58:57Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,BetRivers,2023-08-18T22:59:54Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,BetRivers,2023-08-18T22:59:54Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,BetUS,2023-08-18T23:00:09Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,BetUS,2023-08-18T23:00:09Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,LowVig.ag,2023-08-18T22:59:36Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,LowVig.ag,2023-08-18T22:59:36Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,SuperBook,2023-08-18T22:58:58Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,SuperBook,2023-08-18T22:58:58Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,Unibet,2023-08-18T22:58:57Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,Unibet,2023-08-18T22:58:57Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,BetOnline.ag,2023-08-18T22:58:57Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,BetOnline.ag,2023-08-18T22:58:57Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,Bovada,2023-08-18T23:00:17Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,Bovada,2023-08-18T23:00:17Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,BetMGM,2023-08-18T22:58:57Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,BetMGM,2023-08-18T22:58:57Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,DraftKings,2023-08-18T22:58:57Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,DraftKings,2023-08-18T22:58:57Z,-6.5
Detroit Lions,Kansas City Chiefs vs Detroit Lions,Barstool Sportsbook,2023-08-18T23:00:18Z,6.5
Kansas City Chiefs,Kansas City Chiefs vs Detroit Lions,Barstool Sportsbook,2023-08-18T23:00:18Z,-6.5
Arizona Cardinals,Washington Commanders vs Arizona Cardinals,FanDuel,2023-08-18T22:58:58Z,6.0
Washington Commanders,Washington Commanders vs Arizona Cardinals,FanDuel,2023-08-18T22:58:58Z,-6.0
Arizona Cardinals,Washington Commanders vs Arizona Cardinals,William Hill (US),2023-08-18T23:00:17Z,6.0
Washington Commanders,Washington Commanders vs Arizona Cardinals,William Hill (US),2023-08-18T23:00:17Z,-6.0
Arizona Cardinals,Washington Commanders vs Arizona Cardinals,MyBookie.ag,2023-08-18T22:58:57Z,6.0
Washington Commanders,Washington Commanders vs Arizona Cardinals,MyBookie.ag,2023-08-18T22:58:57Z,-6.0
Arizona Cardinals,Washington Commanders vs Arizona Cardinals,PointsBet (US),2023-08-18T22:58:57Z,6.0
Washington Commanders,Washington Commanders vs Arizona Cardinals,PointsBet (US),2023-08-18T22:58:57Z,-6.0
